CASE;SERIAL;REF;QUESTNNR;MODE;STARTED;A101;A102_01;A201;A202;A203;A204;A301;A401;A402;A403;A404;A405;A501_01;A502;A601;A602;A701;A901_01;A902;A903;A904_01;A904_02;A904_03;A904_04;A904_05;A905;A906;A907;A908;A909;A910;TIME001;TIME002;TIME003;TIME004;TIME005;TIME006;TIME007;TIME008;TIME009;TIME010;TIME011;TIME012;TIME013;TIME014;TIME015;TIME016;TIME017;TIME018;TIME_SUM;MAILSENT;LASTDATA;STATUS;FINISHED;Q_VIEWER;LASTPAGE;MAXPAGE;MISSING;MISSREL;TIME_RSI
243;;;base;interview;23.03.2025 10:48;1;unterstützung familiengründung;1;1;3;3;2;2;1;3;1;2;3;3;5;2;2;1;6;3;5;1;4;3;2;2;1;1;1;1;1;5;17;13;21;18;11;8;8;20;34;5;28;18;11;26;27;20;16;306;;23.03.2025 10:53;;1;0;18;18;0;0;1,41
244;;;base;interview;23.03.2025 10:48;1;675296d305f601da2cfe686e;1;1;3;3;2;1;2;3;5;2;3;1;5;11;2;1;9;3;5;1;4;3;2;1;1;1;1;1;1;4;3;43;40;16;14;10;7;34;30;10;22;7;16;6;4;8;22;296;;23.03.2025 10:53;;1;0;18;18;0;0;1,57
245;;;base;interview;23.03.2025 10:50;1;Bezahlter Freistellung;1;1;3;3;2;3;1;5;5;2;2;1;3;9;2;4;3;4;2;1;5;3;4;2;1;1;1;2;2;5;177;49;26;16;8;9;25;36;50;10;85;28;25;17;20;27;12;413;;23.03.2025 11:01;;1;0;18;18;0;0;0,95
247;;;base;interview;23.03.2025 10:51;1;finanzielle vorteile;1;1;3;3;2;1;2;3;1;2;3;1;3;2;2;3;6;3;4;2;3;5;1;1;1;1;1;1;1;3;29;44;39;18;12;9;22;37;55;2;44;21;12;30;20;21;7;425;;23.03.2025 10:58;;1;0;18;18;3;2;1,2
248;;;base;interview;23.03.2025 10:52;1;Kinder kriegen;1;1;3;3;2;3;2;4;1;2;3;2;1;12;2;2;9;4;2;3;4;1;5;2;2;2;2;2;1;4;102;28;47;20;14;11;4;36;45;14;34;24;19;22;20;49;26;483;;23.03.2025 11:00;;1;0;18;18;0;0;0,99
249;;;base;interview;23.03.2025 10:52;1;Unterstützung beim Kinder bekommen;1;1;3;3;2;3;2;2;1;2;4;4;1;6;2;1;9;3;5;2;4;3;1;1;1;1;1;1;1;11;241;61;19;15;8;6;5;22;23;5;32;12;11;9;8;12;20;314;;23.03.2025 11:00;;1;0;18;18;0;0;1,42
250;;;base;interview;23.03.2025 10:52;1;Fruchtbarkeit, Kinderwunsch;1;3;3;3;2;2;2;3;1;2;3;2;1;12;2;4;5;1;4;2;3;5;1;1;1;1;2;2;1;3;13;52;47;23;15;9;13;48;81;14;50;20;15;18;13;11;19;464;;23.03.2025 10:59;;1;0;18;18;0;0;1,08
251;;;base;interview;23.03.2025 10:54;1;Kinderwunsch;1;1;3;3;1;2;2;3;5;2;2;3;7;13;2;2;6;1;5;2;4;3;1;1;1;1;2;1;1;4;49;16;47;14;6;7;4;30;37;7;20;6;5;6;7;6;16;287;;23.03.2025 10:59;;1;0;18;18;0;0;1,81
252;;;base;interview;23.03.2025 10:55;1;Fruchtbarkeit Bonus;1;1;3;3;2;4;1;7;5;2;3;3;1;12;1;3;8;4;4;1;3;5;2;2;1;1;2;2;1;30;39;75;22;28;24;6;9;34;51;13;39;14;16;13;12;15;24;464;;23.03.2025 11:03;;1;0;18;18;0;0;0,96
253;;;base;interview;23.03.2025 10:56;1;Schwangerschaft;1;1;3;3;2;2;2;3;1;2;3;1;1;12;2;1;3;3;5;2;3;4;1;1;1;1;2;2;2;3;14;24;19;11;9;9;4;17;20;7;131;186;8;13;11;13;520;242;;23.03.2025 11:13;;1;0;18;18;0;0;1,58
254;;;base;interview;23.03.2025 10:58;1;Geburtsvorteile;1;1;3;3;2;1;2;3;5;2;2;1;5;11;2;2;6;3;5;1;4;3;2;1;1;1;1;1;1;8;136;41;30;21;10;12;7;31;63;15;19;9;9;24;22;10;16;382;;23.03.2025 11:06;;1;0;18;18;0;0;1,08
255;;;base;interview;23.03.2025 11:00;1;Neuer Begriff;1;1;3;3;2;2;1;2;2;2;4;4;6;13;2;4;1;1;4;2;5;3;1;2;1;1;2;1;2;3;22;20;66;21;6;3;7;29;39;5;24;12;6;13;6;6;11;299;;23.03.2025 11:05;;1;0;18;18;0;0;1,75
256;;;base;interview;23.03.2025 11:02;1;Familienplanung;1;1;3;3;2;1;2;4;1;2;3;2;5;11;2;3;6;1;4;5;1;3;2;1;1;1;2;1;1;6;28;41;50;15;8;5;8;29;47;9;26;15;6;39;40;10;19;374;;23.03.2025 11:08;;1;0;18;18;0;0;1,22
257;;;base;interview;23.03.2025 11:03;1;Vorteile Kinderkriegen;1;1;3;3;2;4;1;6;1;2;3;3;1;4;2;1;6;3;5;1;4;3;2;1;1;1;1;1;1;21;30;50;17;11;20;4;6;27;23;10;31;12;11;12;12;30;26;353;;23.03.2025 11:09;;1;0;18;18;0;0;1,3
258;;;base;interview;23.03.2025 11:03;1;Positiven aspekte;1;1;3;3;1;2;1;4;2;1;2;2;1;12;1;4;4;4;3;1;2;4;5;2;2;2;2;2;2;19;99;41;73;26;25;8;8;24;60;8;17;9;8;6;4;9;13;457;;23.03.2025 11:11;;1;0;18;18;0;0;1,3
259;;;base;interview;23.03.2025 11:04;1;Unterstützung Familienplanung ;1;1;3;3;1;3;2;3;1;1;2;3;1;5;2;3;6;3;5;1;4;3;2;1;1;1;1;1;1;5;35;29;22;15;7;7;8;25;51;14;15;7;7;9;7;13;4;280;;23.03.2025 11:09;;1;0;18;18;3;2;1,63
260;;;base;interview;23.03.2025 11:05;1;fragwürdig, Agenda;1;1;3;3;2;1;1;3;1;2;2;1;3;12;2;1;10;3;5;1;4;3;2;1;1;1;1;1;1;10;38;38;22;15;15;6;5;23;23;10;22;12;11;10;12;12;12;296;;23.03.2025 11:10;;1;0;18;18;0;0;1,37
261;;;base;interview;23.03.2025 11:12;1;Frauenrechte, Gleichgerechtigkeit;1;1;3;3;1;1;1;4;1;2;2;2;1;4;2;3;6;1;4;3;1;5;2;1;1;1;2;2;1;8;51;50;24;14;28;10;12;62;43;4;40;23;11;9;22;50;5;429;;23.03.2025 11:19;;1;0;18;18;3;2;1,16
262;;;base;interview;23.03.2025 11:15;1;Schwangeren Vorteile;1;1;3;3;2;3;2;4;1;2;5;2;3;7;2;1;7;3;5;2;4;3;1;1;1;1;1;1;1;2;17;36;21;11;10;5;6;22;19;8;14;7;6;8;6;8;23;229;;23.03.2025 11:18;;1;0;18;18;0;0;1,89
263;;;base;interview;23.03.2025 11:24;1;Menschen können familien gründen, indem sie eigene biologische Kinder haben;1;1;3;3;2;3;1;4;2;1;3;1;7;9;1;2;6;3;5;3;1;4;2;1;1;1;1;1;1;38;243;152;90;35;30;12;18;118;94;27;67;37;30;32;22;35;58;699;;23.03.2025 11:43;;1;0;18;18;3;2;0,44
264;;;base;interview;23.03.2025 11:37;1;Familienplanung, Kinderwunsch trotz Job;1;1;3;3;1;2;2;3;1;2;2;1;1;6;2;4;1;1;4;1;2;3;5;1;1;1;1;2;1;5;87;43;52;30;9;7;8;52;51;15;41;21;11;12;15;11;14;484;;23.03.2025 11:45;;1;0;18;18;3;2;1,03
